Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,4907,4374,10,49342.933594,0.000203
2,1000,0.1,0.2,50.0,1000,5453,4925,12,49760.109375,0.000241
3,1000,0.1,0.2,50.0,1000,5328,4803,11,48720.917969,0.000226
4,1000,0.1,0.2,50.0,1000,5457,4924,17,49999.558594,0.000340
5,1000,0.1,0.2,50.0,1000,5603,5063,19,51345.257812,0.000370
6,1000,0.1,0.2,50.0,1000,5027,4537,10,50512.847656,0.000198
7,1000,0.1,0.2,50.0,1000,5279,4713,13,48276.203125,0.000269
8,1000,0.1,0.2,50.0,1000,5556,4973,11,50682.949219,0.000217
9,1000,0.1,0.2,50.0,1000,5550,4981,12,50657.011719,0.000237
10,1000,0.1,0.2,50.0,1000,5071,4543,10,50913.511719,0.000196
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,4959,3988,10,49804.343750,0.000201
2,1000,0.2,0.2,50.0,1000,5512,4421,11,50307.722656,0.000219
3,1000,0.2,0.2,50.0,1000,5449,4373,11,49780.460938,0.000221
4,1000,0.2,0.2,50.0,1000,5658,4516,13,51714.277344,0.000251
5,1000,0.2,0.2,50.0,1000,5676,4545,12,51888.996094,0.000231
6,1000,0.2,0.2,50.0,1000,5088,4116,10,51191.625000,0.000195
7,1000,0.2,0.2,50.0,1000,5536,4442,12,50633.445312,0.000237
8,1000,0.2,0.2,50.0,1000,5511,4442,13,50347.609375,0.000258
9,1000,0.2,0.2,50.0,1000,5333,4210,12,48742.906250,0.000246
10,1000,0.2,0.2,50.0,1000,4960,3997,10,49820.363281,0.000201
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5018,2990,10,50417.527344,0.000198
2,1000,0.4,0.2,50.0,1000,5506,3290,11,50203.292969,0.000219
3,1000,0.4,0.2,50.0,1000,4995,3034,10,50259.574219,0.000199
4,1000,0.4,0.2,50.0,1000,5424,3263,14,49514.570312,0.000283
5,1000,0.4,0.2,50.0,1000,5489,3292,13,50174.187500,0.000259
6,1000,0.4,0.2,50.0,1000,5106,3084,10,51370.679688,0.000195
7,1000,0.4,0.2,50.0,1000,5519,3330,13,50539.125000,0.000257
8,1000,0.4,0.2,50.0,1000,5597,3342,11,51104.906250,0.000215
9,1000,0.4,0.2,50.0,1000,5409,3215,11,49355.398438,0.000223
10,1000,0.4,0.2,50.0,1000,4939,2976,10,49504.125000,0.000202
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,5513,2238,11,50413.179688,0.000218
2,1000,0.6,0.2,50.0,1000,5580,2205,11,50984.667969,0.000216
3,1000,0.6,0.2,50.0,1000,5340,2108,11,48859.609375,0.000225
4,1000,0.6,0.2,50.0,1000,5440,2250,11,49614.812500,0.000222
5,1000,0.6,0.2,50.0,1000,5552,2208,11,50754.773438,0.000217
6,1000,0.6,0.2,50.0,1000,5056,2076,10,50802.632812,0.000197
7,1000,0.6,0.2,50.0,1000,5376,2150,11,49137.503906,0.000224
8,1000,0.6,0.2,50.0,1000,5429,2165,12,49595.742188,0.000242
9,1000,0.6,0.2,50.0,1000,5288,2097,11,48280.308594,0.000228
10,1000,0.6,0.2,50.0,1000,5657,2265,11,51721.937500,0.000213
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,5041,1045,10,50696.496094,0.000197
2,1000,0.8,0.2,50.0,1000,5553,1157,11,50654.023438,0.000217
3,1000,0.8,0.2,50.0,1000,4843,968,10,48759.574219,0.000205
4,1000,0.8,0.2,50.0,1000,5548,1159,11,50682.367188,0.000217
5,1000,0.8,0.2,50.0,1000,5008,1023,10,50341.292969,0.000199
6,1000,0.8,0.2,50.0,1000,4975,1003,10,50091.625000,0.000200
7,1000,0.8,0.2,50.0,1000,5573,1091,11,51017.164062,0.000216
8,1000,0.8,0.2,50.0,1000,5002,1032,10,50268.015625,0.000199
9,1000,0.8,0.2,50.0,1000,5274,1024,11,48063.371094,0.000229
10,1000,0.8,0.2,50.0,1000,4922,989,10,49474.417969,0.000202
