Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
7,1000,0.5,0.2,50.0,1000,49382,9284,105,51714.316406,0.002030
8,1000,0.5,0.2,50.0,1000,48558,8929,102,50294.945312,0.002028
9,1000,0.5,0.2,50.0,1000,49540,9252,100,51570.968750,0.001939
10,1000,0.5,0.2,50.0,1000,47546,8748,101,49536.875000,0.002039
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,48175,8787,80,50611.949219,0.001581
2,1000,0.8,0.2,50.0,1000,47193,8541,74,49228.578125,0.001503
3,1000,0.8,0.2,50.0,1000,47422,8690,68,49934.640625,0.001362
4,1000,0.8,0.2,50.0,1000,48106,8712,77,49887.792969,0.001543
5,1000,0.8,0.2,50.0,1000,47396,8634,85,49953.464844,0.001702
6,1000,0.8,0.2,50.0,1000,49040,8989,79,51738.296875,0.001527
7,1000,0.8,0.2,50.0,1000,47820,8614,88,49858.554688,0.001765
8,1000,0.8,0.2,50.0,1000,48049,8772,97,50640.867188,0.001915
9,1000,0.8,0.2,50.0,1000,48862,8785,91,50483.421875,0.001803
10,1000,0.8,0.2,50.0,1000,48904,8928,80,51212.105469,0.001562
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,91515,9093,197,50686.320312,0.003887
2,1000,0.2,0.2,50.0,1000,91440,9007,169,50233.539062,0.003364
3,1000,0.2,0.2,50.0,1000,90708,9033,167,50177.613281,0.003328
4,1000,0.2,0.2,50.0,1000,90723,8948,194,49930.718750,0.003885
5,1000,0.2,0.2,50.0,1000,89472,8819,195,49404.949219,0.003947
6,1000,0.2,0.2,50.0,1000,87639,8714,162,48728.582031,0.003325
7,1000,0.2,0.2,50.0,1000,92161,9125,164,51043.656250,0.003213
8,1000,0.2,0.2,50.0,1000,90577,9020,168,50144.148438,0.003350
9,1000,0.2,0.2,50.0,1000,92251,9118,160,50395.480469,0.003175
10,1000,0.2,0.2,50.0,1000,88586,8853,196,49600.816406,0.003952
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,91651,9101,102,51109.636719,0.001996
2,1000,0.5,0.2,50.0,1000,92420,9130,90,50987.003906,0.001765
3,1000,0.5,0.2,50.0,1000,90935,9023,89,50417.355469,0.001765
4,1000,0.5,0.2,50.0,1000,90898,8883,86,50094.347656,0.001717
5,1000,0.5,0.2,50.0,1000,85506,8389,83,47303.332031,0.001755
6,1000,0.5,0.2,50.0,1000,90635,8983,100,50143.328125,0.001994
7,1000,0.5,0.2,50.0,1000,92579,9290,95,51620.816406,0.001840
8,1000,0.5,0.2,50.0,1000,88687,8611,81,48482.035156,0.001671
9,1000,0.5,0.2,50.0,1000,90260,8923,100,49972.328125,0.002001
10,1000,0.5,0.2,50.0,1000,89537,8766,89,49614.714844,0.001794
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,89763,8613,54,49799.960938,0.001084
2,1000,0.8,0.2,50.0,1000,89523,8573,55,49656.218750,0.001108
3,1000,0.8,0.2,50.0,1000,91695,8883,55,51021.421875,0.001078
4,1000,0.8,0.2,50.0,1000,89052,8576,57,49048.566406,0.001162
5,1000,0.8,0.2,50.0,1000,91624,8793,68,50982.523438,0.001334
6,1000,0.8,0.2,50.0,1000,88492,8608,41,49553.621094,0.000827
7,1000,0.8,0.2,50.0,1000,87519,8395,44,48613.304688,0.000905
8,1000,0.8,0.2,50.0,1000,89828,8722,54,50049.582031,0.001079
9,1000,0.8,0.2,50.0,1000,93117,8821,55,50843.410156,0.001082
10,1000,0.8,0.2,50.0,1000,90989,8776,49,50386.820312,0.000972
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
