Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,4959,3988,10,49804.343750,0.000201
2,1000,0.2,0.2,50.0,1000,5512,4421,11,50307.722656,0.000219
3,1000,0.2,0.2,50.0,1000,5449,4373,11,49780.460938,0.000221
4,1000,0.2,0.2,50.0,1000,5658,4516,13,51714.277344,0.000251
5,1000,0.2,0.2,50.0,1000,5676,4545,12,51888.996094,0.000231
6,1000,0.2,0.2,50.0,1000,5088,4116,10,51191.625000,0.000195
7,1000,0.2,0.2,50.0,1000,5536,4442,12,50633.445312,0.000237
8,1000,0.2,0.2,50.0,1000,5511,4442,13,50347.609375,0.000258
9,1000,0.2,0.2,50.0,1000,5333,4210,12,48742.906250,0.000246
10,1000,0.2,0.2,50.0,1000,4960,3997,10,49820.363281,0.000201
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5507,2768,13,50361.902344,0.000258
2,1000,0.5,0.2,50.0,1000,5341,2640,11,48764.148438,0.000226
3,1000,0.5,0.2,50.0,1000,4824,2410,10,48559.574219,0.000206
4,1000,0.5,0.2,50.0,1000,5497,2802,12,50297.175781,0.000239
5,1000,0.5,0.2,50.0,1000,5345,2623,12,48937.726562,0.000245
6,1000,0.5,0.2,50.0,1000,4967,2513,10,49972.484375,0.000200
7,1000,0.5,0.2,50.0,1000,5514,2730,12,50456.175781,0.000238
8,1000,0.5,0.2,50.0,1000,5429,2735,12,49503.429688,0.000242
9,1000,0.5,0.2,50.0,1000,5436,2670,11,49528.593750,0.000222
10,1000,0.5,0.2,50.0,1000,5371,2674,12,49133.378906,0.000244
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,5041,1045,10,50696.496094,0.000197
2,1000,0.8,0.2,50.0,1000,5553,1157,11,50654.023438,0.000217
3,1000,0.8,0.2,50.0,1000,4843,968,10,48759.574219,0.000205
4,1000,0.8,0.2,50.0,1000,5548,1159,11,50682.367188,0.000217
5,1000,0.8,0.2,50.0,1000,5008,1023,10,50341.292969,0.000199
6,1000,0.8,0.2,50.0,1000,4975,1003,10,50091.625000,0.000200
7,1000,0.8,0.2,50.0,1000,5573,1091,11,51017.164062,0.000216
8,1000,0.8,0.2,50.0,1000,5002,1032,10,50268.015625,0.000199
9,1000,0.8,0.2,50.0,1000,5274,1024,11,48063.371094,0.000229
10,1000,0.8,0.2,50.0,1000,4922,989,10,49474.417969,0.000202
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,24158,8884,50,49517.488281,0.001010
2,1000,0.2,0.2,50.0,1000,24349,8797,51,48866.738281,0.001044
3,1000,0.2,0.2,50.0,1000,24264,8811,51,48966.964844,0.001042
4,1000,0.2,0.2,50.0,1000,24398,8819,53,49040.546875,0.001081
5,1000,0.2,0.2,50.0,1000,24833,9008,52,50006.347656,0.001040
6,1000,0.2,0.2,50.0,1000,24553,8970,50,50317.824219,0.000994
7,1000,0.2,0.2,50.0,1000,25306,9112,52,50909.363281,0.001021
8,1000,0.2,0.2,50.0,1000,25041,9019,53,50353.789062,0.001053
9,1000,0.2,0.2,50.0,1000,24821,8976,52,49932.878906,0.001041
10,1000,0.2,0.2,50.0,1000,25370,9295,50,52232.433594,0.000957
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,24576,8873,53,49798.820312,0.001064
2,1000,0.5,0.2,50.0,1000,24732,8903,51,49634.132812,0.001028
3,1000,0.5,0.2,50.0,1000,25199,9201,50,51592.867188,0.000969
4,1000,0.5,0.2,50.0,1000,23822,8492,52,47987.089844,0.001084
5,1000,0.5,0.2,50.0,1000,24432,8778,52,49210.574219,0.001057
6,1000,0.5,0.2,50.0,1000,25063,9148,50,51341.433594,0.000974
7,1000,0.5,0.2,50.0,1000,25252,9077,56,50878.492188,0.001101
8,1000,0.5,0.2,50.0,1000,24969,8886,53,50017.902344,0.001060
9,1000,0.5,0.2,50.0,1000,25786,9252,51,51722.410156,0.000986
10,1000,0.5,0.2,50.0,1000,24847,8867,52,49967.589844,0.001041
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23107,4683,50,47496.496094,0.001053
2,1000,0.8,0.2,50.0,1000,24297,4897,53,48879.656250,0.001084
3,1000,0.8,0.2,50.0,1000,24137,4727,50,49516.777344,0.001010
4,1000,0.8,0.2,50.0,1000,25143,5087,51,50409.675781,0.001012
5,1000,0.8,0.2,50.0,1000,23837,4738,50,48865.671875,0.001023
6,1000,0.8,0.2,50.0,1000,24750,5015,50,50889.445312,0.000983
7,1000,0.8,0.2,50.0,1000,25567,5087,51,51517.164062,0.000990
8,1000,0.8,0.2,50.0,1000,25165,5160,50,51603.570312,0.000969
9,1000,0.8,0.2,50.0,1000,23903,4847,51,47862.347656,0.001066
10,1000,0.8,0.2,50.0,1000,24217,4854,50,49682.519531,0.001006
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,47835,9049,100,50349.980469,0.001986
2,1000,0.2,0.2,50.0,1000,48983,9139,100,50829.187500,0.001967
3,1000,0.2,0.2,50.0,1000,46275,8735,100,48381.082031,0.002067
4,1000,0.2,0.2,50.0,1000,47033,8783,102,48902.593750,0.002086
5,1000,0.2,0.2,50.0,1000,48443,8993,101,50508.261719,0.002000
6,1000,0.2,0.2,50.0,1000,45591,8582,100,47952.421875,0.002085
7,1000,0.2,0.2,50.0,1000,48466,9048,101,50588.144531,0.001997
8,1000,0.2,0.2,50.0,1000,48335,9055,102,50372.316406,0.002025
9,1000,0.2,0.2,50.0,1000,46369,8680,101,48235.847656,0.002094
10,1000,0.2,0.2,50.0,1000,48083,9056,100,50905.921875,0.001964
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,48737,9069,102,51221.554688,0.001991
2,1000,0.5,0.2,50.0,1000,49240,9180,100,51237.785156,0.001952
3,1000,0.5,0.2,50.0,1000,48161,9065,100,50584.742188,0.001977
4,1000,0.5,0.2,50.0,1000,46903,8668,101,48819.835938,0.002069
5,1000,0.5,0.2,50.0,1000,48946,9112,101,50918.007812,0.001984
6,1000,0.5,0.2,50.0,1000,49832,9345,100,52191.625000,0.001916
